date,sample,mx_pct,spf_pct,dmarc_pct,dmarc_reject_pct
2026-07-01,50000,79.9,75.8,64,22.6
2026-07-02,50000,80.6,76.5,64.6,22.7
2026-07-03,50000,80.6,76.5,64.7,22.8
2026-07-04,50000,80.5,76.5,64.6,22.8
2026-07-05,50000,80.5,76.5,64.6,22.8
2026-07-06,50000,80.5,76.5,64.6,22.8
2026-07-07,50000,80.4,76.4,64.6,22.8
2026-07-08,50000,80.4,76.4,64.6,22.8
2026-07-09,50000,80.5,76.5,64.7,22.8
2026-07-10,50000,80.5,76.5,64.7,22.8
2026-07-11,50000,80.5,76.5,64.7,22.8
2026-07-12,50000,80.5,76.6,64.7,22.9
2026-07-13,50000,80.5,76.6,64.7,22.9
2026-07-14,50000,80.5,76.5,64.7,22.9
2026-07-15,50000,80.5,76.6,64.8,22.9
2026-07-16,50000,80.5,76.6,64.8,22.9
